Current Epoch,Training Loss,Validation Loss
0,0.5522717917338014,0.5022677425295115
1,0.49841769272461534,0.501940593123436
2,0.48661842569708824,0.47811602614820004
3,0.47866823989897966,0.4742282582446933
4,0.47540995804592967,0.47062119096517563
5,0.47236273204907775,0.47019892651587725
6,0.47060387511737645,0.47480535320937634
7,0.47000867733731866,0.47053663339465857
8,0.46902147377841175,0.46728251688182354
9,0.46784681803546846,0.4665767699480057
10,0.4674780569039285,0.4680959973484278
11,0.46611772989854217,0.46472553350031376
12,0.4652689518406987,0.46597144193947315
13,0.4654514850117266,0.4641829440370202
14,0.4643954047933221,0.46623567398637533
15,0.4641879617702216,0.46440856344997883
16,0.4636086015962064,0.46231484692543745
17,0.4635889439377934,0.46787549648433924
18,0.46292526740580797,0.4621574468910694
19,0.4625285111833364,0.46228406112641096
20,0.4617988718673587,0.4663946498185396
21,0.4619079085532576,0.4650696739554405
22,0.45954736275598407,0.4592015817761421
23,0.4600296332500875,0.45886577013880014
24,0.4591007037088275,0.4596388041973114
25,0.4587362795136869,0.4609982343390584
26,0.458531467942521,0.4590803887695074
27,0.45789202162995934,0.45811209082603455
28,0.4570913282223046,0.4587858347222209
29,0.4568217338528484,0.4585023671388626
30,0.45675778831355274,0.459316392429173
31,0.45566677674651146,0.4571934510022402
32,0.45580609678290784,0.45855431724339724
33,0.4554062676616013,0.45770894177258015
34,0.4549832169432193,0.45877702720463276
35,0.45463597984053195,0.45752971805632114
36,0.4541158094070852,0.457706144079566
37,0.4543305393308401,0.45992257725447416
38,0.45370790059678257,0.45891683641821146
39,0.4535580277442932,0.45805111806839705
40,0.45329415681771934,0.45826653204858303
